Date,New visitors SEO,New visitors CPC,New visitors Social Media,Return visitors,Twitter mentions,Twitter follower adds,Twitter followers cumulative,Mailing list adds ,Mailing list cumulative,Website Pageviews,Website Visits,Website Unique Visits,Mobile uniques,Tablet uniques,Desktop uniques,Free sign up,Paid conversion,Events
1/23/2013,3607,555,92,370,0,-1,201,2,1881,27749,13874,4625,462,925,3237,2312,116,
1/24/2013,2415,371,62,248,0,0,201,0,1881,27860,9287,3096,310,619,2167,929,46,
1/25/2013,2424,373,62,249,0,0,201,0,1879,27970,9323,3108,311,622,2175,1554,109,
1/26/2013,2738,421,70,281,0,1,202,0,1879,28081,14041,3510,351,702,2457,1053,74,
1/27/2013,2443,376,63,251,0,-1,201,3,1882,28192,9397,3132,313,626,2193,626,44,
1/28/2013,1840,283,47,189,1,2,203,0,1881,28303,9434,2359,236,472,1651,943,57,
1/29/2013,2770,426,71,284,0,0,203,0,1880,28413,14207,3552,355,710,2486,1066,64,
1/30/2013,1854,285,48,190,0,2,205,0,1879,28524,9508,2377,238,475,1664,951,48,
1/31/2013,1861,286,48,191,0,1,206,1,1880,28635,9545,2386,239,477,1670,477,24,
2/1/2013,2803,431,72,287,0,-1,205,0,1879,28746,14373,3593,359,719,2515,719,50,
2/2/2013,2813,433,72,289,1,2,207,1,1880,28856,14428,3607,361,721,2525,1804,90,
2/3/2013,3766,579,97,386,0,2,209,0,1880,28967,14483,4828,483,966,3379,966,58,
2/4/2013,2835,436,73,291,0,0,209,1,1881,29078,14539,3635,363,727,2544,1454,87,
2/5/2013,3794,584,97,389,2,1,210,3,1884,29188,14594,4865,486,973,3405,2432,170,
2/6/2013,2857,439,73,293,1,2,212,1,1885,29299,14650,3662,366,732,2564,1831,128,
2/7/2013,1912,294,49,196,0,1,213,3,1888,29410,9803,2451,245,490,1716,490,29,
2/8/2013,1919,295,49,197,0,0,213,0,1885,29521,9840,2460,246,492,1722,492,30,
2/9/2013,1926,296,49,198,2,2,215,0,1884,29631,9877,2469,247,494,1728,988,59,
2/10/2013,1933,297,50,198,0,0,215,0,1882,29742,9914,2479,248,496,1735,1239,87,
2/11/2013,2911,448,75,299,0,1,216,1,1883,29853,14926,3732,373,746,2612,1493,75,
2/12/2013,2921,449,75,300,0,2,218,1,1884,29964,14982,3745,375,749,2622,1873,112,
2/13/2013,2606,401,67,267,0,0,218,1,1885,30074,10025,3342,334,668,2339,1671,84,
2/14/2013,2943,453,75,302,1,2,220,3,1888,30185,15092,3773,377,755,2641,1887,94,
2/15/2013,2954,454,76,303,0,0,220,0,1888,30296,15148,3787,379,757,2651,1136,57,
2/16/2013,2965,456,76,304,2,-1,219,1,1889,30406,15203,3801,380,760,2661,1900,95,
2/17/2013,3967,610,102,407,0,1,220,1,1890,30517,15259,5086,509,1017,3560,2034,122,
2/18/2013,3982,613,102,408,0,0,220,0,1887,30628,15314,5105,510,1021,3573,2042,143,
2/19/2013,2997,461,77,307,0,1,221,0,1884,30739,15369,3842,384,768,2690,768,54,
2/20/2013,2674,411,69,274,0,2,223,3,1887,30849,10283,3428,343,686,2399,1714,86,
2/21/2013,3019,464,77,310,0,-1,222,3,1890,30960,15480,3870,387,774,2709,1548,77,
2/22/2013,2020,311,52,207,2,1,223,2,1892,31071,10357,2589,259,518,1812,1295,78,
2/23/2013,2702,416,69,277,0,1,224,0,1892,31182,10394,3465,346,693,2425,1039,62,
2/24/2013,3051,469,78,313,1,1,225,0,1889,31292,15646,3912,391,782,2738,1565,110,
2/25/2013,2722,419,70,279,0,1,226,0,1887,31403,10468,3489,349,698,2442,1396,84,
2/26/2013,2048,315,53,210,0,-1,225,3,1890,31514,10505,2626,263,525,1838,1050,74,
2/27/2013,2056,316,53,211,2,-1,224,0,1890,31624,10541,2635,264,527,1845,1318,79,
2/28/2013,2063,317,53,212,0,1,225,3,1893,31735,10578,2645,264,529,1851,1322,93,
3/1/2013,3105,478,80,318,0,0,225,3,1896,31846,15923,3981,398,796,2787,796,40,
3/2/2013,3116,479,80,320,0,0,225,3,1899,31957,15978,3995,399,799,2796,1198,60,
3/3/2013,3127,481,80,321,0,0,225,3,1902,32067,16034,4008,401,802,2806,1203,60,
3/4/2013,4183,644,107,429,0,2,227,0,1902,32178,16089,5363,536,1073,3754,2145,107,
3/5/2013,2798,431,72,287,0,-1,226,0,1899,32289,10763,3588,359,718,2511,1794,108,
3/6/2013,4212,648,108,432,0,-1,225,2,1901,32400,16200,5400,540,1080,3780,1620,97,
3/7/2013,3170,488,81,325,0,1,226,1,1902,32510,16255,4064,406,813,2845,1626,114,
3/8/2013,4241,652,109,435,0,2,228,0,1899,32621,16310,5437,544,1087,3806,2718,136,
3/9/2013,3191,491,82,327,0,1,229,2,1901,32732,16366,4091,409,818,2864,1637,82,
3/10/2013,2135,328,55,219,0,-1,228,0,1898,32842,10947,2737,274,547,1916,1095,77,
3/11/2013,2142,330,55,220,0,0,228,0,1896,32953,10984,2746,275,549,1922,1373,69,
3/12/2013,2149,331,55,220,0,-1,227,0,1893,33064,11021,2755,276,551,1929,1102,77,
3/13/2013,4313,663,111,442,0,2,229,0,1890,33175,16587,5529,553,1106,3870,1659,100,
3/14/2013,2164,333,55,222,0,2,231,2,1892,33285,11095,2774,277,555,1942,555,28,
3/15/2013,4341,668,111,445,0,-1,230,2,1894,33396,16698,5566,557,1113,3896,2783,195,
3/16/2013,3267,503,84,335,0,0,230,0,1894,33507,16753,4188,419,838,2932,2094,126,
3/17/2013,2914,448,75,299,0,-1,229,0,1892,33618,11206,3735,374,747,2615,1868,93,
3/18/2013,3289,506,84,337,0,-1,228,0,1891,33728,16864,4216,422,843,2951,2108,126,
3/19/2013,2200,338,56,226,0,-1,227,0,1890,33839,11280,2820,282,564,1974,846,51,
3/20/2013,3310,509,85,339,0,2,229,0,1888,33950,16975,4244,424,849,2971,849,59,
3/21/2013,2952,454,76,303,0,1,230,0,1888,34060,11353,3784,378,757,2649,1892,132,
3/22/2013,2221,342,57,228,0,1,231,0,1888,34171,11390,2848,285,570,1993,854,51,
3/23/2013,3342,514,86,343,0,0,231,1,1889,34282,17141,4285,429,857,3000,1286,77,
3/24/2013,2981,459,76,306,2,0,231,2,1891,34393,11464,3821,382,764,2675,764,46,
3/25/2013,4485,690,115,460,2,1,232,3,1894,34503,17252,5751,575,1150,4025,2300,115,
3/26/2013,3375,519,87,346,1,0,232,0,1891,34614,17307,4327,433,865,3029,865,52,
3/27/2013,4514,694,116,463,2,0,232,3,1894,34725,17362,5787,579,1157,4051,1736,104,
3/28/2013,4529,697,116,464,2,2,234,3,1897,34836,17418,5806,581,1161,4064,2903,145,
3/29/2013,2272,349,58,233,0,0,234,0,1897,34946,11649,2912,291,582,2039,874,52,
3/30/2013,2279,351,58,234,0,0,234,0,1894,35057,11686,2921,292,584,2045,584,35,
3/31/2013,3429,528,88,352,0,0,234,2,1896,35168,17584,4396,440,879,3077,2198,132,
4/1/2013,3057,470,78,314,0,1,235,0,1895,35278,11759,3920,392,784,2744,1568,110,
4/2/2013,2300,354,59,236,0,1,236,1,1896,35389,11796,2949,295,590,2064,1180,83,
4/3/2013,2307,355,59,237,0,2,238,0,1894,35500,11833,2958,296,592,2071,592,30,
4/4/2013,2315,356,59,237,1,0,238,2,1896,35611,11870,2968,297,594,2077,1484,89,
4/5/2013,4644,714,119,476,0,0,238,0,1893,35721,17861,5954,595,1191,4167,1786,107,
4/6/2013,3494,537,90,358,2,1,239,0,1893,35832,17916,4479,448,896,3135,1792,125,
4/7/2013,4673,719,120,479,0,1,240,0,1892,35943,17971,5990,599,1198,4193,2995,150,
4/8/2013,2343,361,60,240,0,1,241,0,1890,36053,12018,3004,300,601,2103,1502,75,
4/9/2013,3134,482,80,321,0,2,243,0,1887,36164,12055,4018,402,804,2813,1607,113,
4/10/2013,2358,363,60,242,0,0,243,0,1884,36275,12092,3023,302,605,2116,1511,76,
4/11/2013,3153,485,81,323,0,0,243,0,1884,36386,12129,4043,404,809,2830,1213,61,
4/12/2013,3163,487,81,324,1,1,244,0,1883,36496,12165,4055,406,811,2839,1622,97,
4/13/2013,4759,732,122,488,0,1,245,0,1881,36607,18304,6101,610,1220,4271,2440,122,
4/14/2013,3580,551,92,367,0,0,245,0,1881,36718,18359,4590,459,918,3213,918,55,
4/15/2013,3192,491,82,327,0,1,246,0,1879,36829,12276,4092,409,818,2864,1228,74,
4/16/2013,4802,739,123,493,1,-1,245,0,1879,36939,18470,6157,616,1231,4310,1231,74,
4/17/2013,4817,741,124,494,1,1,246,0,1878,37050,18525,6175,618,1235,4323,1853,130,
4/18/2013,3623,557,93,372,0,1,247,3,1881,37161,18580,4645,465,929,3252,1394,98,
4/19/2013,3230,497,83,331,0,2,249,2,1883,37271,12424,4141,414,828,2899,828,41,
4/20/2013,2430,374,62,249,0,2,251,2,1885,37382,12461,3115,312,623,2181,623,37,
4/21/2013,2437,375,62,250,0,2,253,0,1884,37493,12498,3124,312,625,2187,937,66,
4/22/2013,2444,376,63,251,0,1,254,0,1883,37604,12535,3134,313,627,2194,1253,88,
4/23/2013,3269,503,84,335,0,0,254,0,1881,37714,12571,4190,419,838,2933,838,42,
4/24/2013,4917,757,126,504,0,0,254,3,1884,37825,18913,6304,630,1261,4413,3152,189,
4/25/2013,3699,569,95,379,0,1,255,1,1885,37936,18968,4742,474,948,3319,948,57,
4/26/2013,2473,380,63,254,0,0,255,1,1886,38047,12682,3171,317,634,2219,1585,79,
4/27/2013,3720,572,95,382,1,0,255,0,1884,38157,19079,4770,477,954,3339,954,57,
4/28/2013,2487,383,64,255,0,2,257,3,1887,38268,12756,3189,319,638,2232,1595,112,
4/29/2013,2495,384,64,256,0,-1,256,0,1887,38379,12793,3198,320,640,2239,1599,80,
4/30/2013,5004,770,128,513,0,2,258,0,1885,38489,19245,6415,641,1283,4490,1924,96,
5/1/2013,3345,515,86,343,0,1,259,1,1886,38600,12867,4289,429,858,3002,2144,107,
5/2/2013,3355,516,86,344,1,2,261,2,1888,38711,12904,4301,430,860,3011,1290,65,
5/3/2013,3365,518,86,345,0,-1,260,2,1890,38822,12941,4314,431,863,3019,1294,78,
5/4/2013,5061,779,130,519,0,-1,259,0,1889,38932,19466,6489,649,1298,4542,2595,182,
5/5/2013,2538,390,65,260,0,1,260,3,1892,39043,13014,3254,325,651,2278,651,33,
5/6/2013,3393,522,87,348,2,0,260,1,1893,39154,13051,4350,435,870,3045,1740,87,
5/7/2013,3828,589,98,393,0,2,262,0,1890,39265,19632,4908,491,982,3436,1963,137,
5/8/2013,3413,525,88,350,2,0,262,1,1891,39375,13125,4375,438,875,3063,1313,66,
5/9/2013,3850,592,99,395,0,1,263,0,1889,39486,19743,4936,494,987,3455,1481,104,
5/10/2013,2574,396,66,264,0,2,265,0,1886,39597,13199,3300,330,660,2310,660,40,
5/11/2013,5162,794,132,529,0,2,267,3,1889,39707,19854,6618,662,1324,4633,1324,66,
5/12/2013,3451,531,88,354,2,0,267,2,1891,39818,13273,4424,442,885,3097,2212,155,
5/13/2013,2595,399,67,266,0,0,267,0,1891,39929,13310,3327,333,665,2329,1664,83,
5/14/2013,5205,801,133,534,0,-1,266,2,1893,40040,20020,6673,667,1335,4671,2002,140,
5/15/2013,3480,535,89,357,0,1,267,0,1893,40150,13383,4461,446,892,3123,1338,94,
5/16/2013,3925,604,101,403,2,2,269,0,1891,40261,20131,5033,503,1007,3523,1007,70,
5/17/2013,3936,606,101,404,0,1,270,0,1891,40372,20186,5046,505,1009,3533,2523,151,
5/18/2013,3947,607,101,405,0,-1,269,0,1888,40483,20241,5060,506,1012,3542,1012,71,
5/19/2013,5277,812,135,541,1,2,271,3,1891,40593,20297,6766,677,1353,4736,2706,135,
5/20/2013,5292,814,136,543,1,0,271,0,1890,40704,20352,6784,678,1357,4749,3392,170,
5/21/2013,2653,408,68,272,2,2,273,0,1889,40815,13605,3401,340,680,2381,680,34,
5/22/2013,5320,819,136,546,2,-1,272,0,1889,40925,20463,6821,682,1364,4775,2728,164,
5/23/2013,2667,410,68,274,2,-1,271,3,1892,41036,13679,3420,342,684,2394,1368,68,
5/24/2013,2675,411,69,274,2,2,273,0,1891,41147,13716,3429,343,686,2400,686,48,
5/25/2013,2682,413,69,275,1,0,273,0,1891,41258,13753,3438,344,688,2407,1375,69,
5/26/2013,5378,827,138,552,0,0,273,2,1893,41368,20684,6895,689,1379,4826,2068,103,
5/27/2013,2696,415,69,277,0,2,275,0,1890,41479,13826,3457,346,691,2420,1383,97,
5/28/2013,5407,832,139,555,0,1,276,0,1890,41590,20795,6932,693,1386,4852,2773,139,
5/29/2013,3614,556,93,371,0,2,278,1,1891,41701,13900,4633,463,927,3243,2317,116,
5/30/2013,5435,836,139,557,0,-1,277,1,1892,41811,20906,6969,697,1394,4878,2091,125,
5/31/2013,5450,838,140,559,1,1,278,0,1891,41922,20961,6987,699,1397,4891,2795,196,
6/1/2013,4098,630,105,420,0,1,279,2,1893,42033,21016,5254,525,1051,3678,1576,79,
6/2/2013,2739,421,70,281,0,1,280,0,1892,42143,14048,3512,351,702,2458,702,35,
6/3/2013,2747,423,70,282,0,-1,279,0,1889,42254,14085,3521,352,704,2465,1408,85,
6/4/2013,3672,565,94,377,0,0,279,1,1890,42365,14122,4707,471,941,3295,2354,141,
6/5/2013,2761,425,71,283,0,1,280,0,1889,42476,14159,3540,354,708,2478,1416,71,
6/6/2013,3691,568,95,379,0,1,281,3,1892,42586,14195,4732,473,946,3312,1893,95,
6/7/2013,3700,569,95,380,0,1,282,0,1891,42697,14232,4744,474,949,3321,1898,95,
6/8/2013,5565,856,143,571,2,1,283,2,1893,42808,21404,7135,713,1427,4994,3567,250,
6/9/2013,4185,644,107,429,0,-1,282,2,1895,42919,21459,5365,536,1073,3755,1073,54,
6/10/2013,2797,430,72,287,0,-1,281,1,1896,43029,14343,3586,359,717,2510,1793,126,
6/11/2013,4206,647,108,431,0,-1,280,0,1893,43140,21570,5393,539,1079,3775,1079,65,
6/12/2013,4217,649,108,433,0,0,280,0,1890,43251,21625,5406,541,1081,3784,2703,189,
6/13/2013,2818,434,72,289,0,1,281,3,1893,43361,14454,3613,361,723,2529,1445,101,
6/14/2013,4239,652,109,435,0,2,283,1,1894,43472,21736,5434,543,1087,3804,2717,163,
6/15/2013,3777,581,97,387,1,2,285,0,1893,43583,14528,4843,484,969,3390,2421,169,
6/16/2013,5680,874,146,583,2,1,286,3,1896,43694,21847,7282,728,1456,5098,1456,73,
6/17/2013,2847,438,73,292,0,1,287,2,1898,43804,14601,3650,365,730,2555,1460,102,
6/18/2013,5709,878,146,586,0,-1,286,0,1895,43915,21958,7319,732,1464,5123,2196,132,
6/19/2013,5723,881,147,587,1,2,288,2,1897,44026,22013,7338,734,1468,5136,1468,73,
6/20/2013,4303,662,110,441,0,1,289,0,1897,44137,22068,5517,552,1103,3862,1655,83,
6/21/2013,3835,590,98,393,0,0,289,1,1898,44247,14749,4916,492,983,3441,1475,74,
6/22/2013,5767,887,148,591,0,0,289,2,1900,44358,22179,7393,739,1479,5175,2957,207,
6/23/2013,3854,593,99,395,1,2,291,2,1902,44469,14823,4941,494,988,3459,1482,89,
6/24/2013,2898,446,74,297,0,-1,290,0,1900,44579,14860,3715,371,743,2600,1857,111,
6/25/2013,2905,447,74,298,0,0,290,1,1901,44690,14897,3724,372,745,2607,1117,78,
6/26/2013,3883,597,100,398,0,1,291,2,1903,44801,14934,4978,498,996,3485,1991,119,
6/27/2013,3892,599,100,399,0,0,291,0,1900,44912,14971,4990,499,998,3493,2495,125,
6/28/2013,3902,600,100,400,0,1,292,0,1899,45022,15007,5002,500,1000,3502,1501,90,
6/29/2013,5867,903,150,602,0,-1,291,0,1896,45133,22567,7522,752,1504,5266,1504,75,
6/30/2013,4411,679,113,452,0,2,293,1,1897,45244,22622,5655,566,1131,3959,1131,79,
7/1/2013,5896,907,151,605,0,-1,292,0,1894,45355,22677,7559,756,1512,5291,3780,189,
7/2/2013,3940,606,101,404,2,1,293,2,1896,45465,15155,5052,505,1010,3536,1010,71,
7/3/2013,2886,1519,152,506,0,1,294,2,1898,45576,15192,5064,506,1013,3545,3545,213,2013 CPC campaign
7/4/2013,2174,1144,114,381,1,2,296,0,1897,45766,15255,3814,381,763,2670,1526,76,2013 CPC campaign
7/5/2013,4366,2298,230,766,0,2,298,1,1898,45955,22978,7659,766,1532,5361,6127,429,2013 CPC campaign
7/6/2013,2192,1154,115,385,0,-1,297,0,1896,46145,15382,3845,385,769,2692,1923,96,2013 CPC campaign
7/7/2013,2201,1158,116,386,2,3,300,0,1894,46335,15445,3861,386,772,2703,2317,162,2013 CPC campaign
7/8/2013,2947,1551,155,517,0,0,300,1,1895,46525,15508,5169,517,1034,3619,3102,186,2013 CPC campaign
7/9/2013,2959,1557,156,519,2,-1,299,0,1894,46714,15571,5190,519,1038,3633,2595,130,2013 CPC campaign
7/10/2013,4456,2345,235,782,0,3,302,0,1893,46904,23452,7817,782,1563,5472,3127,219,2013 CPC campaign
7/11/2013,2983,1570,157,523,0,0,302,0,1891,47094,15698,5233,523,1047,3663,2616,157,2013 CPC campaign
7/12/2013,2995,1576,158,525,1,-2,300,1,1892,47283,15761,5254,525,1051,3678,2627,158,2013 CPC campaign
7/13/2013,3007,1582,158,527,0,1,301,2,1894,47473,15824,5275,527,1055,3692,2637,185,2013 CPC campaign
7/14/2013,3396,1787,179,596,0,2,303,0,1893,47663,23831,5958,596,1192,4170,4766,286,2013 CPC campaign
7/15/2013,2273,1196,120,399,0,-1,302,3,1896,47852,15951,3988,399,798,2791,3190,223,2013 CPC campaign
7/16/2013,3043,1601,160,534,0,3,305,0,1896,48042,16014,5338,534,1068,3737,3203,192,2013 CPC campaign
7/17/2013,2291,1206,121,402,0,0,305,0,1894,48232,16077,4019,402,804,2814,3215,161,2013 CPC campaign
7/18/2013,4600,2421,242,807,1,1,306,3,1897,48422,24211,8070,807,1614,5649,5649,282,2013 CPC campaign
7/19/2013,3464,1823,182,608,0,0,306,2,1899,48611,24306,6076,608,1215,4253,4861,340,2013 CPC campaign
7/20/2013,4636,2440,244,813,0,1,307,3,1902,48801,24400,8133,813,1627,5693,4067,285,2013 CPC campaign
7/21/2013,4654,2450,245,817,0,3,310,2,1904,48991,24495,8165,817,1633,5716,5716,343,2013 CPC campaign
7/22/2013,4672,2459,246,820,0,2,312,1,1905,49180,24590,8197,820,1639,5738,6557,459,2013 CPC campaign
7/23/2013,4690,2469,247,823,0,3,315,2,1907,49370,24685,8228,823,1646,5760,4937,247,2013 CPC campaign
7/24/2013,2354,1239,124,413,0,1,316,0,1905,49560,16520,4130,413,826,2891,1652,116,2013 CPC campaign
7/25/2013,3545,1866,187,622,0,-1,315,1,1906,49749,24875,6219,622,1244,4353,4353,305,2013 CPC campaign
7/26/2013,4744,2497,250,832,3,-2,313,0,1906,49939,24970,8323,832,1665,5826,3329,233,2013 CPC campaign
7/27/2013,4762,2506,251,835,2,2,315,1,1907,50129,25064,8355,835,1671,5848,6684,401,2013 CPC campaign
7/28/2013,3187,1677,168,559,0,0,315,0,1907,50319,16773,5591,559,1118,3914,2795,168,2013 CPC campaign
7/29/2013,3199,1684,168,561,0,-1,314,0,1907,50508,16836,5612,561,1122,3928,3367,168,2013 CPC campaign
7/30/2013,2408,1267,127,422,0,2,316,0,1905,50698,16899,4225,422,845,2957,2112,106,2013 CPC campaign
7/31/2013,4834,2544,254,848,0,2,318,3,1908,50888,25444,8481,848,1696,5937,5089,254,2013 CPC campaign
8/1/2013,4852,2554,255,851,0,-1,317,3,1911,51077,25539,8513,851,1703,5959,5959,417,2013 CPC campaign
8/2/2013,4870,2563,256,854,0,1,318,0,1909,51267,25634,8545,854,1709,5981,5981,299,2013 CPC campaign
8/3/2013,3259,1715,172,572,2,3,321,1,1910,51457,17152,5717,572,1143,4002,2859,200,2013 CPC campaign
8/4/2013,2453,1291,129,430,0,3,324,0,1908,51647,17216,4304,430,861,3013,1722,86,2013 CPC campaign
8/5/2013,2462,1296,130,432,0,-2,322,1,1909,51836,17279,4320,432,864,3024,2160,130,2013 CPC campaign
8/6/2013,3295,1734,173,578,0,0,322,2,1911,52026,17342,5781,578,1156,4046,4625,324,2013 CPC campaign
8/7/2013,3307,1741,174,580,0,-2,320,0,1909,52216,17405,5802,580,1160,4061,4061,244,2013 CPC campaign
8/8/2013,2489,1310,131,437,0,1,321,0,1909,52405,17468,4367,437,873,3057,2620,157,2013 CPC campaign
8/9/2013,4997,2630,263,877,1,0,321,0,1908,52595,26298,8766,877,1753,6136,5260,316,2013 CPC campaign
8/10/2013,3343,1759,176,586,0,2,323,3,1911,52785,17595,5865,586,1173,4105,4105,205,2013 CPC campaign
8/11/2013,2516,1324,132,441,0,2,325,0,1911,52974,17658,4415,441,883,3090,3532,212,2013 CPC campaign
8/12/2013,3367,1772,177,591,0,3,328,3,1914,53164,17721,5907,591,1181,4135,3544,213,2013 CPC campaign
8/13/2013,3801,2001,200,667,0,0,328,2,1916,53354,26677,6669,667,1334,4668,4002,280,2013 CPC campaign
8/14/2013,3815,2008,201,669,0,0,328,0,1916,53544,26772,6693,669,1339,4685,5354,321,2013 CPC campaign
8/15/2013,3403,1791,179,597,3,-1,327,2,1918,53733,17911,5970,597,1194,4179,4179,293,2013 CPC campaign
8/16/2013,3415,1797,180,599,0,2,329,3,1921,53923,17974,5991,599,1198,4194,4194,294,2013 CPC campaign
8/17/2013,2570,1353,135,451,2,2,331,0,1919,54113,18038,4509,451,902,3157,2255,135,2013 CPC campaign
8/18/2013,2579,1358,136,453,0,0,331,0,1917,54302,18101,4525,453,905,3168,3620,253,2013 CPC campaign
8/19/2013,2588,1362,136,454,2,1,332,1,1918,54492,18164,4541,454,908,3179,3633,182,2013 CPC campaign
8/20/2013,3463,1823,182,608,0,3,335,0,1916,54682,18227,6076,608,1215,4253,4861,292,2013 CPC campaign
8/21/2013,5213,2744,274,915,2,3,338,1,1917,54871,27436,9145,915,1829,6402,6402,448,2013 CPC campaign
8/22/2013,3487,1835,184,612,0,0,338,1,1918,55061,18354,6118,612,1224,4283,4894,294,2013 CPC campaign
8/23/2013,3937,2072,207,691,0,3,341,0,1916,55251,27625,6906,691,1381,4834,4144,249,2013 CPC campaign
8/24/2013,5267,2772,277,924,0,0,341,2,1918,55441,27720,9240,924,1848,6468,4620,323,2013 CPC campaign
8/25/2013,3523,1854,185,618,1,1,342,0,1916,55630,18543,6181,618,1236,4327,4327,303,2013 CPC campaign
8/26/2013,3977,2093,209,698,3,3,345,3,1919,55820,27910,6977,698,1395,4884,3489,244,2013 CPC campaign
8/27/2013,3547,1867,187,622,0,1,346,0,1919,56010,18670,6223,622,1245,4356,2489,149,2013 CPC campaign
8/28/2013,2669,1405,140,468,0,-1,345,0,1917,56199,18733,4683,468,937,3278,3278,164,2013 CPC campaign
8/29/2013,3571,1880,188,627,0,-2,343,3,1920,56389,18796,6265,627,1253,4386,4386,263,2013 CPC campaign
8/30/2013,4031,2122,212,707,0,0,343,0,1920,56579,28289,7072,707,1414,4951,4243,212,2013 CPC campaign
8/31/2013,3595,1892,189,631,3,1,344,0,1920,56768,18923,6308,631,1262,4415,3154,221,2013 CPC campaign
9/1/2013,3607,1899,190,633,3,0,344,1,1921,56958,18986,6329,633,1266,4430,5063,253,2013 CPC campaign
9/2/2013,2715,1429,143,476,0,2,346,2,1923,57148,19049,4762,476,952,3334,2857,171,2013 CPC campaign
9/3/2013,5447,2867,287,956,2,-1,345,0,1922,57338,28669,9556,956,1911,6689,7645,382,2013 CPC campaign
9/4/2013,4099,2157,216,719,0,1,346,0,1920,57527,28764,7191,719,1438,5034,2876,144,2013 CPC campaign
9/5/2013,3655,1924,192,641,0,-2,344,0,1918,57717,19239,6413,641,1283,4489,4489,269,2013 CPC campaign
9/6/2013,4126,2172,217,724,3,-2,342,0,1917,57907,28953,7238,724,1448,5067,4343,217,2013 CPC campaign
9/7/2013,2760,1452,145,484,0,3,345,1,1918,58096,19365,4841,484,968,3389,2421,169,2013 CPC campaign
9/8/2013,2769,1457,146,486,0,2,347,0,1916,58286,19429,4857,486,971,3400,1943,97,2013 CPC campaign
9/9/2013,5555,2924,292,975,0,1,348,0,1915,58476,29238,9746,975,1949,6822,5848,409,2013 CPC campaign
9/10/2013,2787,1467,147,489,0,-2,346,0,1914,58666,19555,4889,489,978,3422,2933,147,2013 CPC campaign
9/11/2013,3727,1962,196,654,0,-1,345,3,1917,58855,19618,6539,654,1308,4578,5232,262,2013 CPC campaign
9/12/2013,2805,1476,148,492,0,2,347,2,1919,59045,19682,4920,492,984,3444,1968,138,2013 CPC campaign
9/13/2013,3752,1974,197,658,0,-2,345,0,1917,59235,19745,6582,658,1316,4607,2633,184,2013 CPC campaign
9/14/2013,4234,2228,223,743,0,3,348,2,1919,59424,29712,7428,743,1486,5200,5200,364,2013 CPC campaign
9/15/2013,2832,1490,149,497,0,-2,346,2,1921,59614,19871,4968,497,994,3477,3477,243,2013 CPC campaign
9/16/2013,5681,2990,299,997,0,2,348,3,1924,59804,29902,9967,997,1993,6977,4984,299,2013 CPC campaign
9/17/2013,4275,2250,225,750,0,-2,346,3,1927,59993,29997,7499,750,1500,5249,3000,150,2013 CPC campaign
9/18/2013,4288,2257,226,752,0,-2,344,0,1927,60183,30092,7523,752,1505,5266,3761,188,2013 CPC campaign
